entry,mood,date
This is good way to journal your journey,happy,2024-06-26 22:48:09
test,happy,2024-06-26 23:33:54
This is good way to journal your journey,happy,2024-06-25 22:48:09
this is nikita,neutral,2024-06-27 22:51:08
test,happy,2024-06-28 23:33:54
This is good way to journal your journey,happy,2024-06-29 22:48:09
this is nikita,neutral,2024-06-30 22:51:08
test,happy,2024-07-1 23:33:54
This is good way to journal your journey,happy,2024-07-02 22:48:09
this is nikita,neutral,2024-07-3 22:51:08
test,happy,2024-07-04 23:33:54
